//EOS file using Gadget forsterite EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_EOS_forsterite.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 1 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
5.078152E-03	8.969825E+02	2.627135E+03	5.000000E+03
5.166700E-03	9.135793E+02	2.629361E+03	5.000000E+03
5.256791E-03	9.304832E+02	2.631588E+03	5.000000E+03
5.348454E-03	9.476998E+02	2.633818E+03	5.000000E+03
5.441714E-03	9.652351E+02	2.636049E+03	5.000000E+03
5.536601E-03	9.830947E+02	2.638283E+03	5.000000E+03
5.633143E-03	1.001285E+03	2.640518E+03	5.000000E+03
5.731368E-03	1.019812E+03	2.642755E+03	5.000000E+03
5.831305E-03	1.038681E+03	2.644994E+03	5.000000E+03
5.932985E-03	1.057900E+03	2.647235E+03	5.000000E+03
6.036439E-03	1.077474E+03	2.649478E+03	5.000000E+03
6.141696E-03	1.097410E+03	2.651723E+03	5.000000E+03
6.248788E-03	1.117716E+03	2.653970E+03	5.000000E+03
6.357748E-03	1.138405E+03	2.656262E+03	5.000000E+03
6.468608E-03	1.159486E+03	2.658613E+03	5.000000E+03
6.581400E-03	1.180959E+03	2.660965E+03	5.000000E+03
6.696160E-03	1.202829E+03	2.663320E+03	5.000000E+03
6.812921E-03	1.225104E+03	2.665677E+03	5.000000E+03
6.931717E-03	1.247791E+03	2.668036E+03	5.000000E+03
7.052585E-03	1.270899E+03	2.670397E+03	5.000000E+03
7.175561E-03	1.294435E+03	2.672760E+03	5.000000E+03
7.300681E-03	1.318406E+03	2.675125E+03	5.000000E+03
7.427982E-03	1.342821E+03	2.677492E+03	5.000000E+03
7.557504E-03	1.367689E+03	2.679862E+03	5.000000E+03
7.689284E-03	1.393017E+03	2.682233E+03	5.000000E+03
7.823361E-03	1.418814E+03	2.684607E+03	5.000000E+03
7.959777E-03	1.445089E+03	2.686982E+03	5.000000E+03
8.098571E-03	1.471850E+03	2.689360E+03	5.000000E+03
8.239786E-03	1.499107E+03	2.691740E+03	5.000000E+03
8.383462E-03	1.526869E+03	2.694122E+03	5.000000E+03
8.529644E-03	1.555145E+03	2.696506E+03	5.000000E+03
8.678376E-03	1.583944E+03	2.698892E+03	5.000000E+03
8.829700E-03	1.613277E+03	2.701280E+03	5.000000E+03
8.983663E-03	1.643153E+03	2.703671E+03	5.000000E+03
9.140311E-03	1.673582E+03	2.706063E+03	5.000000E+03
9.299690E-03	1.704575E+03	2.708458E+03	5.000000E+03
9.461848E-03	1.736142E+03	2.710855E+03	5.000000E+03
9.626834E-03	1.768293E+03	2.713254E+03	5.000000E+03
9.794697E-03	1.801040E+03	2.715655E+03	5.000000E+03
9.965486E-03	1.834393E+03	2.718058E+03	5.000000E+03
1.013925E-02	1.868380E+03	2.720462E+03	5.000000E+03
1.031605E-02	1.903000E+03	2.722868E+03	5.000000E+03
1.049593E-02	1.938261E+03	2.725276E+03	5.000000E+03
1.067895E-02	1.974176E+03	2.727686E+03	5.000000E+03
1.086516E-02	2.010756E+03	2.730099E+03	5.000000E+03
1.105461E-02	2.048014E+03	2.732513E+03	5.000000E+03
1.124737E-02	2.085963E+03	2.734930E+03	5.000000E+03
1.144349E-02	2.124614E+03	2.737349E+03	5.000000E+03
1.164303E-02	2.163982E+03	2.739770E+03	5.000000E+03
1.184605E-02	2.204079E+03	2.742193E+03	5.000000E+03
1.205261E-02	2.244919E+03	2.744618E+03	5.000000E+03
1.226277E-02	2.286516E+03	2.747046E+03	5.000000E+03
1.247660E-02	2.328884E+03	2.749475E+03	5.000000E+03
1.269415E-02	2.372037E+03	2.751907E+03	5.000000E+03
1.291550E-02	2.415989E+03	2.754341E+03	5.000000E+03
1.314070E-02	2.460756E+03	2.756777E+03	5.000000E+03
1.336984E-02	2.506352E+03	2.759215E+03	5.000000E+03
1.360297E-02	2.552793E+03	2.761655E+03	5.000000E+03
1.384016E-02	2.600095E+03	2.764097E+03	5.000000E+03
1.408149E-02	2.648273E+03	2.766542E+03	5.000000E+03
1.432703E-02	2.697344E+03	2.768989E+03	5.000000E+03
1.457685E-02	2.747324E+03	2.771438E+03	5.000000E+03
1.483103E-02	2.798230E+03	2.773889E+03	5.000000E+03
1.508963E-02	2.850080E+03	2.776342E+03	5.000000E+03
1.535275E-02	2.902890E+03	2.778797E+03	5.000000E+03
1.562046E-02	2.956679E+03	2.781255E+03	5.000000E+03
1.589283E-02	3.011460E+03	2.783725E+03	5.000000E+03
1.616995E-02	3.067232E+03	2.786253E+03	5.000000E+03
1.645191E-02	3.124037E+03	2.788783E+03	5.000000E+03
1.673878E-02	3.181895E+03	2.791316E+03	5.000000E+03
1.703065E-02	3.240823E+03	2.793851E+03	5.000000E+03
1.732761E-02	3.300843E+03	2.796388E+03	5.000000E+03
1.762975E-02	3.361975E+03	2.798927E+03	5.000000E+03
1.793716E-02	3.424239E+03	2.801469E+03	5.000000E+03
1.824993E-02	3.487656E+03	2.804013E+03	5.000000E+03
1.856816E-02	3.552248E+03	2.806559E+03	5.000000E+03
1.889193E-02	3.618035E+03	2.809108E+03	5.000000E+03
1.922135E-02	3.685041E+03	2.811659E+03	5.000000E+03
1.955651E-02	3.753288E+03	2.814212E+03	5.000000E+03
1.989751E-02	3.822799E+03	2.816768E+03	5.000000E+03
2.024447E-02	3.893598E+03	2.819326E+03	5.000000E+03
2.059747E-02	3.965707E+03	2.821886E+03	5.000000E+03
2.095662E-02	4.039152E+03	2.824448E+03	5.000000E+03
2.132204E-02	4.113958E+03	2.827013E+03	5.000000E+03
2.169384E-02	4.190148E+03	2.829580E+03	5.000000E+03
2.207211E-02	4.267750E+03	2.832150E+03	5.000000E+03
2.245698E-02	4.346789E+03	2.834722E+03	5.000000E+03
2.284856E-02	4.427291E+03	2.837296E+03	5.000000E+03
2.324697E-02	4.509285E+03	2.839873E+03	5.000000E+03
2.365233E-02	4.592797E+03	2.842451E+03	5.000000E+03
2.406475E-02	4.677856E+03	2.845033E+03	5.000000E+03
2.448437E-02	4.764490E+03	2.847616E+03	5.000000E+03
2.491130E-02	4.852728E+03	2.850202E+03	5.000000E+03
2.534568E-02	4.942658E+03	2.852834E+03	5.000000E+03
2.578763E-02	5.034310E+03	2.855508E+03	5.000000E+03
2.623729E-02	5.127661E+03	2.858185E+03	5.000000E+03
2.669478E-02	5.222742E+03	2.860864E+03	5.000000E+03
2.716026E-02	5.319587E+03	2.863546E+03	5.000000E+03
2.763385E-02	5.418228E+03	2.866231E+03	5.000000E+03
2.811570E-02	5.518698E+03	2.868918E+03	5.000000E+03
2.860596E-02	5.621030E+03	2.871607E+03	5.000000E+03
2.910476E-02	5.725261E+03	2.874299E+03	5.000000E+03
2.961225E-02	5.831424E+03	2.876993E+03	5.000000E+03
3.012860E-02	5.939555E+03	2.879690E+03	5.000000E+03
3.065395E-02	6.049692E+03	2.882390E+03	5.000000E+03
3.118846E-02	6.161871E+03	2.885092E+03	5.000000E+03
3.173230E-02	6.276130E+03	2.887797E+03	5.000000E+03
3.228561E-02	6.392508E+03	2.890504E+03	5.000000E+03
3.284857E-02	6.511044E+03	2.893213E+03	5.000000E+03
3.342135E-02	6.631777E+03	2.895926E+03	5.000000E+03
3.400412E-02	6.754750E+03	2.898640E+03	5.000000E+03
3.459705E-02	6.880003E+03	2.901358E+03	5.000000E+03
3.520031E-02	7.007578E+03	2.904078E+03	5.000000E+03
3.581410E-02	7.137519E+03	2.906800E+03	5.000000E+03
3.643859E-02	7.269869E+03	2.909525E+03	5.000000E+03
3.707397E-02	7.404674E+03	2.912252E+03	5.000000E+03
3.772042E-02	7.541978E+03	2.914982E+03	5.000000E+03
3.837815E-02	7.681829E+03	2.917715E+03	5.000000E+03
3.904735E-02	7.824272E+03	2.920450E+03	5.000000E+03
3.972822E-02	7.969357E+03	2.923188E+03	5.000000E+03
4.042096E-02	8.117218E+03	2.926033E+03	5.000000E+03
4.112578E-02	8.267835E+03	2.928896E+03	5.000000E+03
4.184289E-02	8.421247E+03	2.931761E+03	5.000000E+03
4.257250E-02	8.577505E+03	2.934629E+03	5.000000E+03
4.331483E-02	8.736663E+03	2.937500E+03	5.000000E+03
4.407011E-02	8.898773E+03	2.940374E+03	5.000000E+03
4.483856E-02	9.063892E+03	2.943251E+03	5.000000E+03
4.562041E-02	9.232075E+03	2.946130E+03	5.000000E+03
4.641589E-02	9.403378E+03	2.949013E+03	5.000000E+03
4.722524E-02	9.577860E+03	2.951898E+03	5.000000E+03
4.804870E-02	9.755579E+03	2.954786E+03	5.000000E+03
4.888653E-02	9.936596E+03	2.957676E+03	5.000000E+03
4.973896E-02	1.012097E+04	2.960570E+03	5.000000E+03
5.060626E-02	1.030877E+04	2.963466E+03	5.000000E+03
5.148867E-02	1.050005E+04	2.966365E+03	5.000000E+03
5.238648E-02	1.069488E+04	2.969267E+03	5.000000E+03
5.329994E-02	1.089333E+04	2.972172E+03	5.000000E+03
5.422933E-02	1.109546E+04	2.975080E+03	5.000000E+03
5.517492E-02	1.130133E+04	2.977991E+03	5.000000E+03
5.613701E-02	1.151103E+04	2.980904E+03	5.000000E+03
5.711586E-02	1.172462E+04	2.983820E+03	5.000000E+03
5.811179E-02	1.194218E+04	2.986739E+03	5.000000E+03
5.912508E-02	1.216377E+04	2.989661E+03	5.000000E+03
6.015605E-02	1.238947E+04	2.992586E+03	5.000000E+03
6.120498E-02	1.261936E+04	2.995514E+03	5.000000E+03
6.227221E-02	1.285351E+04	2.998444E+03	5.000000E+03
6.335805E-02	1.309199E+04	3.001373E+03	5.000000E+03
6.446282E-02	1.333480E+04	3.004290E+03	5.000000E+03
6.558686E-02	1.358212E+04	3.007209E+03	5.000000E+03
6.673049E-02	1.383403E+04	3.010132E+03	5.000000E+03
6.789407E-02	1.409061E+04	3.013057E+03	5.000000E+03
6.907793E-02	1.435194E+04	3.015985E+03	5.000000E+03
7.028244E-02	1.461813E+04	3.018916E+03	5.000000E+03
7.150795E-02	1.488925E+04	3.021850E+03	5.000000E+03
7.275484E-02	1.516540E+04	3.024787E+03	5.000000E+03
7.402346E-02	1.544667E+04	3.027726E+03	5.000000E+03
7.531420E-02	1.573316E+04	3.030668E+03	5.000000E+03
7.662745E-02	1.602496E+04	3.033614E+03	5.000000E+03
7.796360E-02	1.632217E+04	3.036562E+03	5.000000E+03
7.932305E-02	1.662490E+04	3.039513E+03	5.000000E+03
8.070620E-02	1.693324E+04	3.042466E+03	5.000000E+03
8.211347E-02	1.724730E+04	3.045423E+03	5.000000E+03
8.354528E-02	1.756718E+04	3.048383E+03	5.000000E+03
8.500206E-02	1.789300E+04	3.051345E+03	5.000000E+03
8.648423E-02	1.822486E+04	3.054310E+03	5.000000E+03
8.799225E-02	1.856287E+04	3.057278E+03	5.000000E+03
8.952657E-02	1.890716E+04	3.060250E+03	5.000000E+03
9.108764E-02	1.925783E+04	3.063223E+03	5.000000E+03
9.267593E-02	1.961500E+04	3.066200E+03	5.000000E+03
9.429192E-02	1.997880E+04	3.069180E+03	5.000000E+03
9.593608E-02	2.034934E+04	3.072163E+03	5.000000E+03
9.760892E-02	2.072676E+04	3.075148E+03	5.000000E+03
9.931092E-02	2.111117E+04	3.078137E+03	5.000000E+03
1.010426E-01	2.150284E+04	3.081212E+03	5.000000E+03
1.028045E-01	2.190186E+04	3.084345E+03	5.000000E+03
1.045971E-01	2.230828E+04	3.087482E+03	5.000000E+03
1.064209E-01	2.272225E+04	3.090623E+03	5.000000E+03
1.082766E-01	2.314389E+04	3.093766E+03	5.000000E+03
1.101646E-01	2.357336E+04	3.096913E+03	5.000000E+03
1.120855E-01	2.401080E+04	3.100062E+03	5.000000E+03
1.140400E-01	2.445636E+04	3.103215E+03	5.000000E+03
1.160285E-01	2.491018E+04	3.106372E+03	5.000000E+03
1.180517E-01	2.537243E+04	3.109531E+03	5.000000E+03
1.201101E-01	2.584325E+04	3.112694E+03	5.000000E+03
1.222045E-01	2.632281E+04	3.115859E+03	5.000000E+03
1.243353E-01	2.681127E+04	3.119028E+03	5.000000E+03
1.265034E-01	2.730880E+04	3.122201E+03	5.000000E+03
1.287092E-01	2.781555E+04	3.125376E+03	5.000000E+03
1.309535E-01	2.833171E+04	3.128555E+03	5.000000E+03
1.332369E-01	2.885745E+04	3.131737E+03	5.000000E+03
1.355602E-01	2.939294E+04	3.134922E+03	5.000000E+03
1.379239E-01	2.993837E+04	3.138111E+03	5.000000E+03
1.403289E-01	3.049392E+04	3.141302E+03	5.000000E+03
1.427758E-01	3.105979E+04	3.144497E+03	5.000000E+03
1.452654E-01	3.163615E+04	3.147695E+03	5.000000E+03
1.477984E-01	3.222320E+04	3.150897E+03	5.000000E+03
1.503755E-01	3.282115E+04	3.154101E+03	5.000000E+03
1.529976E-01	3.343020E+04	3.157309E+03	5.000000E+03
1.556654E-01	3.405055E+04	3.160521E+03	5.000000E+03
1.583798E-01	3.468241E+04	3.163735E+03	5.000000E+03
1.611414E-01	3.532532E+04	3.167022E+03	5.000000E+03
1.639512E-01	3.598012E+04	3.170316E+03	5.000000E+03
1.668101E-01	3.664705E+04	3.173613E+03	5.000000E+03
1.697187E-01	3.732635E+04	3.176913E+03	5.000000E+03
1.726781E-01	3.801825E+04	3.180217E+03	5.000000E+03
1.756891E-01	3.872296E+04	3.183524E+03	5.000000E+03
1.787526E-01	3.944074E+04	3.186834E+03	5.000000E+03
1.818695E-01	4.017183E+04	3.190148E+03	5.000000E+03
1.850407E-01	4.091646E+04	3.193466E+03	5.000000E+03
1.882672E-01	4.167490E+04	3.196787E+03	5.000000E+03
1.915501E-01	4.244740E+04	3.200111E+03	5.000000E+03
1.948901E-01	4.323422E+04	3.203439E+03	5.000000E+03
1.982884E-01	4.403562E+04	3.206770E+03	5.000000E+03
2.017459E-01	4.485187E+04	3.210105E+03	5.000000E+03
2.052638E-01	4.568326E+04	3.213443E+03	5.000000E+03
2.088430E-01	4.653006E+04	3.216785E+03	5.000000E+03
2.124845E-01	4.739255E+04	3.220130E+03	5.000000E+03
2.161896E-01	4.827103E+04	3.223479E+03	5.000000E+03
2.199593E-01	4.916580E+04	3.226831E+03	5.000000E+03
2.237947E-01	5.007715E+04	3.230187E+03	5.000000E+03
2.276970E-01	5.100540E+04	3.233546E+03	5.000000E+03
2.316674E-01	5.195085E+04	3.236908E+03	5.000000E+03
2.357069E-01	5.291382E+04	3.240275E+03	5.000000E+03
2.398170E-01	5.389465E+04	3.243644E+03	5.000000E+03
2.439986E-01	5.489365E+04	3.247017E+03	5.000000E+03
2.482532E-01	5.591118E+04	3.250394E+03	5.000000E+03
2.525820E-01	5.694726E+04	3.253760E+03	5.000000E+03
2.569863E-01	5.800187E+04	3.257098E+03	5.000000E+03
2.614673E-01	5.907602E+04	3.260439E+03	5.000000E+03
2.660265E-01	6.017005E+04	3.263784E+03	5.000000E+03
2.706652E-01	6.128435E+04	3.267133E+03	5.000000E+03
2.753848E-01	6.241929E+04	3.270484E+03	5.000000E+03
2.801867E-01	6.357524E+04	3.273840E+03	5.000000E+03
2.850723E-01	6.475260E+04	3.277198E+03	5.000000E+03
2.900430E-01	6.595176E+04	3.280560E+03	5.000000E+03
2.951005E-01	6.717313E+04	3.283926E+03	5.000000E+03
3.002462E-01	6.841712E+04	3.287295E+03	5.000000E+03
3.054815E-01	6.968415E+04	3.290668E+03	5.000000E+03
3.108082E-01	7.097464E+04	3.294044E+03	5.000000E+03
3.162278E-01	7.228903E+04	3.297423E+03	5.000000E+03
3.217418E-01	7.362777E+04	3.300806E+03	5.000000E+03
3.273520E-01	7.499129E+04	3.304192E+03	5.000000E+03
3.330600E-01	7.638007E+04	3.307582E+03	5.000000E+03
3.388676E-01	7.779456E+04	3.310975E+03	5.000000E+03
3.447764E-01	7.923525E+04	3.314372E+03	5.000000E+03
3.507883E-01	8.070262E+04	3.317773E+03	5.000000E+03
3.569049E-01	8.219717E+04	3.321176E+03	5.000000E+03
3.631283E-01	8.371939E+04	3.324584E+03	5.000000E+03
3.694601E-01	8.526980E+04	3.327994E+03	5.000000E+03
3.759024E-01	8.684893E+04	3.331409E+03	5.000000E+03
3.824570E-01	8.845729E+04	3.334826E+03	5.000000E+03
3.891259E-01	9.009545E+04	3.338248E+03	5.000000E+03
3.959110E-01	9.176394E+04	3.341673E+03	5.000000E+03
4.028145E-01	9.346231E+04	3.345266E+03	5.000000E+03
4.098384E-01	9.519162E+04	3.348942E+03	5.000000E+03
4.169847E-01	9.695292E+04	3.352621E+03	5.000000E+03
4.242556E-01	9.874682E+04	3.356305E+03	5.000000E+03
4.316534E-01	1.005739E+05	3.359992E+03	5.000000E+03
4.391801E-01	1.024348E+05	3.363684E+03	5.000000E+03
4.468381E-01	1.043301E+05	3.367380E+03	5.000000E+03
4.546295E-01	1.062605E+05	3.371079E+03	5.000000E+03
4.625569E-01	1.082266E+05	3.374783E+03	5.000000E+03
4.706225E-01	1.102291E+05	3.378491E+03	5.000000E+03
4.788287E-01	1.122687E+05	3.382203E+03	5.000000E+03
4.871780E-01	1.143459E+05	3.385919E+03	5.000000E+03
4.956729E-01	1.164617E+05	3.389639E+03	5.000000E+03
5.043159E-01	1.186165E+05	3.393364E+03	5.000000E+03
5.131097E-01	1.208112E+05	3.397092E+03	5.000000E+03
5.220568E-01	1.230466E+05	3.400824E+03	5.000000E+03
5.311598E-01	1.253233E+05	3.404561E+03	5.000000E+03
5.404216E-01	1.276421E+05	3.408301E+03	5.000000E+03
5.498449E-01	1.300038E+05	3.412046E+03	5.000000E+03
5.594326E-01	1.324093E+05	3.415795E+03	5.000000E+03
5.691874E-01	1.348592E+05	3.419548E+03	5.000000E+03
5.791123E-01	1.373545E+05	3.423305E+03	5.000000E+03
5.892102E-01	1.398959E+05	3.427066E+03	5.000000E+03
5.994843E-01	1.424844E+05	3.430832E+03	5.000000E+03
6.099374E-01	1.451207E+05	3.434601E+03	5.000000E+03
6.205729E-01	1.478058E+05	3.438375E+03	5.000000E+03
6.313938E-01	1.505404E+05	3.442157E+03	5.000000E+03
6.424034E-01	1.533198E+05	3.446050E+03	5.000000E+03
6.536049E-01	1.561504E+05	3.449948E+03	5.000000E+03
6.650018E-01	1.590333E+05	3.453850E+03	5.000000E+03
6.765974E-01	1.619695E+05	3.457756E+03	5.000000E+03
6.883952E-01	1.649598E+05	3.461667E+03	5.000000E+03
7.003987E-01	1.680054E+05	3.465582E+03	5.000000E+03
7.126115E-01	1.711071E+05	3.469501E+03	5.000000E+03
7.250373E-01	1.742662E+05	3.473426E+03	5.000000E+03
7.376798E-01	1.774836E+05	3.477354E+03	5.000000E+03
7.505426E-01	1.807603E+05	3.481287E+03	5.000000E+03
7.636298E-01	1.840976E+05	3.485224E+03	5.000000E+03
7.769452E-01	1.874965E+05	3.489166E+03	5.000000E+03
7.904928E-01	1.909581E+05	3.493112E+03	5.000000E+03
8.042765E-01	1.944837E+05	3.497063E+03	5.000000E+03
8.183007E-01	1.980743E+05	3.501018E+03	5.000000E+03
8.325694E-01	2.017312E+05	3.504978E+03	5.000000E+03
8.470868E-01	2.054557E+05	3.508942E+03	5.000000E+03
8.618574E-01	2.092489E+05	3.512911E+03	5.000000E+03
8.768856E-01	2.131121E+05	3.516884E+03	5.000000E+03
8.921758E-01	2.170467E+05	3.520862E+03	5.000000E+03
9.077327E-01	2.210539E+05	3.524844E+03	5.000000E+03
9.235607E-01	2.251350E+05	3.528831E+03	5.000000E+03
9.396648E-01	2.292916E+05	3.532822E+03	5.000000E+03
9.560497E-01	2.335248E+05	3.536817E+03	5.000000E+03
9.727203E-01	2.378363E+05	3.540818E+03	5.000000E+03
9.896816E-01	2.422273E+05	3.544822E+03	5.000000E+03
1.006939E+00	2.466941E+05	3.548871E+03	5.000000E+03
1.024497E+00	2.512352E+05	3.552983E+03	5.000000E+03
1.042361E+00	2.558599E+05	3.557100E+03	5.000000E+03
1.060536E+00	2.605697E+05	3.561222E+03	5.000000E+03
1.079029E+00	2.653662E+05	3.565349E+03	5.000000E+03
1.097844E+00	2.702510E+05	3.569480E+03	5.000000E+03
1.116987E+00	2.752257E+05	3.573616E+03	5.000000E+03
1.136464E+00	2.802920E+05	3.577757E+03	5.000000E+03
1.156280E+00	2.854515E+05	3.581903E+03	5.000000E+03
1.176442E+00	2.907061E+05	3.586054E+03	5.000000E+03
1.196956E+00	2.960573E+05	3.590209E+03	5.000000E+03
1.217827E+00	3.015071E+05	3.594369E+03	5.000000E+03
1.239062E+00	3.070571E+05	3.598534E+03	5.000000E+03
1.260668E+00	3.127094E+05	3.602704E+03	5.000000E+03
1.282650E+00	3.184657E+05	3.606879E+03	5.000000E+03
1.305015E+00	3.243279E+05	3.611058E+03	5.000000E+03
1.327771E+00	3.302981E+05	3.615243E+03	5.000000E+03
1.350923E+00	3.363781E+05	3.619432E+03	5.000000E+03
1.374479E+00	3.425701E+05	3.623626E+03	5.000000E+03
1.398446E+00	3.488760E+05	3.627825E+03	5.000000E+03
1.422830E+00	3.552981E+05	3.632029E+03	5.000000E+03
1.447640E+00	3.618383E+05	3.636238E+03	5.000000E+03
1.472883E+00	3.684989E+05	3.640451E+03	5.000000E+03
