//EOS file using Gadget forsterite EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_Fe_EOS.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 0 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
2.651084E+00	2.098971E+01	2.027820E+03	1.500000E+03
2.678724E+00	2.099046E+01	2.027822E+03	1.500000E+03
2.706652E+00	2.099122E+01	2.027825E+03	1.500000E+03
2.734872E+00	2.099199E+01	2.027828E+03	1.500000E+03
2.763385E+00	2.099277E+01	2.027830E+03	1.500000E+03
2.792196E+00	2.099355E+01	2.027833E+03	1.500000E+03
2.821308E+00	2.099434E+01	2.027835E+03	1.500000E+03
2.850723E+00	2.099515E+01	2.027838E+03	1.500000E+03
2.880444E+00	2.099595E+01	2.027841E+03	1.500000E+03
2.910476E+00	2.099677E+01	2.027843E+03	1.500000E+03
2.940820E+00	2.099760E+01	2.027846E+03	1.500000E+03
2.971481E+00	2.099843E+01	2.027849E+03	1.500000E+03
3.002462E+00	2.099928E+01	2.027852E+03	1.500000E+03
3.033765E+00	2.100013E+01	2.027854E+03	1.500000E+03
3.065395E+00	2.100099E+01	2.027857E+03	1.500000E+03
3.097355E+00	2.100186E+01	2.027860E+03	1.500000E+03
3.129648E+00	2.100274E+01	2.027863E+03	1.500000E+03
3.162278E+00	2.100363E+01	2.027866E+03	1.500000E+03
3.195248E+00	2.100453E+01	2.027869E+03	1.500000E+03
3.228561E+00	2.100543E+01	2.027872E+03	1.500000E+03
3.262222E+00	2.100635E+01	2.027875E+03	1.500000E+03
3.296234E+00	2.100728E+01	2.027878E+03	1.500000E+03
3.330600E+00	2.100821E+01	2.027881E+03	1.500000E+03
3.365325E+00	2.100916E+01	2.027884E+03	1.500000E+03
3.400412E+00	2.101011E+01	2.027887E+03	1.500000E+03
3.435865E+00	2.101108E+01	2.027891E+03	1.500000E+03
3.471687E+00	2.101206E+01	2.027894E+03	1.500000E+03
3.507883E+00	2.101304E+01	2.027897E+03	1.500000E+03
3.544456E+00	2.101404E+01	2.027900E+03	1.500000E+03
3.581410E+00	2.101504E+01	2.027904E+03	1.500000E+03
3.618750E+00	2.101606E+01	2.027907E+03	1.500000E+03
3.656479E+00	2.101709E+01	2.027910E+03	1.500000E+03
3.694601E+00	2.101813E+01	2.027914E+03	1.500000E+03
3.733121E+00	2.101917E+01	2.027917E+03	1.500000E+03
3.772042E+00	2.102023E+01	2.027921E+03	1.500000E+03
3.811370E+00	2.102131E+01	2.027924E+03	1.500000E+03
3.851107E+00	2.102239E+01	2.027928E+03	1.500000E+03
3.891259E+00	2.102348E+01	2.027931E+03	1.500000E+03
3.931829E+00	2.102459E+01	2.027935E+03	1.500000E+03
3.972822E+00	2.102570E+01	2.027939E+03	1.500000E+03
4.014242E+00	2.102683E+01	2.027943E+03	1.500000E+03
4.056095E+00	2.102797E+01	2.027946E+03	1.500000E+03
4.098384E+00	2.102912E+01	2.027950E+03	1.500000E+03
4.141113E+00	2.103029E+01	2.027954E+03	1.500000E+03
4.184289E+00	2.103146E+01	2.027958E+03	1.500000E+03
4.227914E+00	2.103265E+01	2.027962E+03	1.500000E+03
4.271994E+00	2.103385E+01	2.027966E+03	1.500000E+03
4.316534E+00	2.103506E+01	2.027970E+03	1.500000E+03
4.361538E+00	2.103629E+01	2.027974E+03	1.500000E+03
4.407011E+00	2.103753E+01	2.027978E+03	1.500000E+03
4.452959E+00	2.103878E+01	2.027982E+03	1.500000E+03
4.499385E+00	2.104004E+01	2.027986E+03	1.500000E+03
4.546295E+00	2.104132E+01	2.027990E+03	1.500000E+03
4.593695E+00	2.104261E+01	2.027995E+03	1.500000E+03
4.641589E+00	2.104391E+01	2.027999E+03	1.500000E+03
4.689982E+00	2.104523E+01	2.028003E+03	1.500000E+03
4.738880E+00	2.104656E+01	2.028008E+03	1.500000E+03
4.788287E+00	2.104791E+01	2.028012E+03	1.500000E+03
4.838210E+00	2.104927E+01	2.028017E+03	1.500000E+03
4.888653E+00	2.105064E+01	2.028021E+03	1.500000E+03
4.939622E+00	2.105203E+01	2.028026E+03	1.500000E+03
4.991122E+00	2.105343E+01	2.028030E+03	1.500000E+03
5.043159E+00	2.105485E+01	2.028035E+03	1.500000E+03
5.095739E+00	2.105628E+01	2.028040E+03	1.500000E+03
5.148867E+00	2.105773E+01	2.028045E+03	1.500000E+03
5.202549E+00	2.105919E+01	2.028049E+03	1.500000E+03
5.256791E+00	2.106067E+01	2.028054E+03	1.500000E+03
5.311598E+00	2.106216E+01	2.028059E+03	1.500000E+03
5.366977E+00	2.106367E+01	2.028064E+03	1.500000E+03
5.422933E+00	2.106519E+01	2.028069E+03	1.500000E+03
5.479472E+00	2.106673E+01	2.028074E+03	1.500000E+03
5.536601E+00	2.106829E+01	2.028079E+03	1.500000E+03
5.594326E+00	2.106986E+01	2.028085E+03	1.500000E+03
5.652652E+00	2.107145E+01	2.028090E+03	1.500000E+03
