//EOS file using Gadget EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_EOS_forsterite.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 1 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
2.045553E+02	3.580997E+08	7.156139E+03	6.500000E+03
2.110203E+02	3.766859E+08	7.231399E+03	6.500000E+03
2.176897E+02	3.962367E+08	7.307449E+03	6.500000E+03
2.245698E+02	4.168022E+08	7.384300E+03	6.500000E+03
2.316674E+02	4.384352E+08	7.461958E+03	6.500000E+03
2.389893E+02	4.611909E+08	7.540434E+03	6.500000E+03
2.465426E+02	4.851277E+08	7.619734E+03	6.500000E+03
2.543346E+02	5.114178E+08	7.707131E+03	6.500000E+03
2.623729E+02	5.408946E+08	7.806562E+03	6.500000E+03
2.706652E+02	5.720703E+08	7.907276E+03	6.500000E+03
2.792196E+02	6.050429E+08	8.009290E+03	6.500000E+03
2.880444E+02	6.399159E+08	8.112619E+03	6.500000E+03
2.971481E+02	6.767989E+08	8.217282E+03	6.500000E+03
3.065395E+02	7.158078E+08	8.323295E+03	6.500000E+03
3.162278E+02	7.570650E+08	8.430676E+03	6.500000E+03
3.262222E+02	8.007002E+08	8.539442E+03	6.500000E+03
3.365325E+02	8.468504E+08	8.649611E+03	6.500000E+03
3.471687E+02	8.956605E+08	8.761201E+03	6.500000E+03
3.581410E+02	9.472840E+08	8.874232E+03	6.500000E+03
3.694601E+02	1.001883E+09	8.988720E+03	6.500000E+03
3.811370E+02	1.059629E+09	9.104685E+03	6.500000E+03
3.931829E+02	1.120703E+09	9.222147E+03	6.500000E+03
4.056095E+02	1.195353E+09	9.381887E+03	6.500000E+03
4.184289E+02	1.282176E+09	9.572139E+03	6.500000E+03
4.316534E+02	1.375306E+09	9.766248E+03	6.500000E+03
4.452959E+02	1.475200E+09	9.964294E+03	6.500000E+03
4.593695E+02	1.582350E+09	1.016636E+04	6.500000E+03
4.738880E+02	1.697283E+09	1.037252E+04	6.500000E+03
4.888653E+02	1.820563E+09	1.058286E+04	6.500000E+03
5.043159E+02	1.952798E+09	1.079746E+04	6.500000E+03
5.202549E+02	2.094638E+09	1.101642E+04	6.500000E+03
5.366977E+02	2.246780E+09	1.123982E+04	6.500000E+03
5.536601E+02	2.409972E+09	1.146775E+04	6.500000E+03
5.711586E+02	2.585019E+09	1.170030E+04	6.500000E+03
5.892102E+02	2.772779E+09	1.193756E+04	6.500000E+03
6.078323E+02	2.974177E+09	1.217964E+04	6.500000E+03
6.270430E+02	3.190204E+09	1.242662E+04	6.500000E+03
6.468608E+02	3.407139E+09	1.267490E+04	6.500000E+03
6.673049E+02	3.634891E+09	1.292719E+04	6.500000E+03
6.883952E+02	3.877866E+09	1.318449E+04	6.500000E+03
7.101521E+02	4.137084E+09	1.344692E+04	6.500000E+03
7.325965E+02	4.413629E+09	1.371457E+04	6.500000E+03
7.557504E+02	4.708659E+09	1.398755E+04	6.500000E+03
7.796360E+02	5.023411E+09	1.426597E+04	6.500000E+03
8.042765E+02	5.359203E+09	1.454992E+04	6.500000E+03
8.296959E+02	5.717441E+09	1.483953E+04	6.500000E+03
8.559185E+02	6.099625E+09	1.513490E+04	6.500000E+03
8.829700E+02	6.507357E+09	1.543615E+04	6.500000E+03
9.108764E+02	6.942343E+09	1.574340E+04	6.500000E+03
9.396648E+02	7.406407E+09	1.605676E+04	6.500000E+03
9.693631E+02	7.901491E+09	1.637636E+04	6.500000E+03
1.000000E+03	8.429669E+09	1.670232E+04	6.500000E+03
1.031605E+03	8.951534E+09	1.700731E+04	6.500000E+03
1.064209E+03	9.502743E+09	1.731587E+04	6.500000E+03
1.097844E+03	1.008376E+10	1.762735E+04	6.500000E+03
1.132541E+03	1.069359E+10	1.794034E+04	6.500000E+03
1.168335E+03	1.133608E+10	1.825639E+04	6.500000E+03
1.205261E+03	1.201233E+10	1.857527E+04	6.500000E+03
1.243353E+03	1.272233E+10	1.889618E+04	6.500000E+03
1.282650E+03	1.346784E+10	1.921923E+04	6.500000E+03
1.323188E+03	1.425115E+10	1.954486E+04	6.500000E+03
1.365008E+03	1.507361E+10	1.987297E+04	6.500000E+03
1.408149E+03	1.593660E+10	2.020338E+04	6.500000E+03
1.452654E+03	1.684151E+10	2.053587E+04	6.500000E+03
1.498565E+03	1.778965E+10	2.087028E+04	6.500000E+03
1.545928E+03	1.878267E+10	2.120658E+04	6.500000E+03
1.594787E+03	1.995588E+10	2.162787E+04	6.500000E+03
1.645191E+03	2.148125E+10	2.222975E+04	6.500000E+03
