//EOS file using Gadget EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_EOS_forsterite.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 1 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
1.922135E-08	1.000000E-01	1.532743E+03	3.200000E+03
1.982884E-08	1.000000E-01	1.533692E+03	3.200000E+03
2.045553E-08	1.000000E-01	1.534641E+03	3.200000E+03
2.110203E-08	1.000000E-01	1.535591E+03	3.200000E+03
2.176897E-08	1.000000E-01	1.536542E+03	3.200000E+03
2.245698E-08	1.000000E-01	1.537493E+03	3.200000E+03
2.316674E-08	1.000000E-01	1.538444E+03	3.200000E+03
2.389893E-08	1.000000E-01	1.539396E+03	3.200000E+03
2.465426E-08	1.000000E-01	1.540349E+03	3.200000E+03
2.543346E-08	1.000000E-01	1.541446E+03	3.200000E+03
2.623729E-08	1.000000E-01	1.542760E+03	3.200000E+03
2.706652E-08	1.000000E-01	1.544074E+03	3.200000E+03
2.792196E-08	1.000000E-01	1.545390E+03	3.200000E+03
2.880444E-08	1.000000E-01	1.546707E+03	3.200000E+03
2.971481E-08	1.000000E-01	1.548025E+03	3.200000E+03
3.065395E-08	1.000000E-01	1.549344E+03	3.200000E+03
3.162278E-08	1.000000E-01	1.550664E+03	3.200000E+03
3.262222E-08	1.000000E-01	1.551985E+03	3.200000E+03
3.365325E-08	1.000000E-01	1.553308E+03	3.200000E+03
3.471687E-08	1.000000E-01	1.554631E+03	3.200000E+03
3.581410E-08	1.000000E-01	1.555956E+03	3.200000E+03
3.694601E-08	1.000000E-01	1.557282E+03	3.200000E+03
3.811370E-08	1.000000E-01	1.558609E+03	3.200000E+03
3.931829E-08	1.000000E-01	1.559937E+03	3.200000E+03
4.056095E-08	1.000000E-01	1.561326E+03	3.200000E+03
4.184289E-08	1.000000E-01	1.562757E+03	3.200000E+03
4.316534E-08	1.000000E-01	1.564189E+03	3.200000E+03
4.452959E-08	1.000000E-01	1.565622E+03	3.200000E+03
4.593695E-08	1.000000E-01	1.567057E+03	3.200000E+03
4.738880E-08	1.000000E-01	1.568493E+03	3.200000E+03
4.888653E-08	1.000000E-01	1.569930E+03	3.200000E+03
5.043159E-08	1.000000E-01	1.571369E+03	3.200000E+03
5.202549E-08	1.000000E-01	1.572809E+03	3.200000E+03
5.366977E-08	1.000000E-01	1.574250E+03	3.200000E+03
5.536601E-08	1.000000E-01	1.575693E+03	3.200000E+03
5.711586E-08	1.000000E-01	1.577137E+03	3.200000E+03
5.892102E-08	1.000000E-01	1.578582E+03	3.200000E+03
6.078323E-08	1.000000E-01	1.580029E+03	3.200000E+03
6.270430E-08	1.000000E-01	1.581477E+03	3.200000E+03
6.468608E-08	9.942230E-02	1.582764E+03	3.200000E+03
6.673049E-08	9.870489E-02	1.584012E+03	3.200000E+03
6.883952E-08	9.799266E-02	1.585262E+03	3.200000E+03
7.101521E-08	9.728556E-02	1.586512E+03	3.200000E+03
7.325965E-08	9.658357E-02	1.587763E+03	3.200000E+03
7.557504E-08	9.588664E-02	1.589015E+03	3.200000E+03
7.796360E-08	9.519474E-02	1.590268E+03	3.200000E+03
